Name,Company,Title/Role,Industry,Description,Location
Orlando B. Vea,Maya,Founder,Fintech,"All-in-one digital banking and money platform for consumers, founded 2013",Philippines
Ron Hose,Coins.ph,Co-founder & former CEO,Fintech/Crypto,"Blockchain-powered digital wallet giving millions of Filipinos access to financial services. Over 16M users. Acquired by Gojek for $95M. Now angel investor & independent director at UnionBank.",Manila
Runar Petursson,Coins.ph,Co-founder,Fintech/Crypto,"Blockchain-powered digital wallet for financial services, founded 2014",Manila
Martha Sazon,GCash (Mynt),President & CEO,Fintech,"Finance super app with 94M+ users. Valued at $5B after MUFG investment. Positioning for potential IPO.",Philippines
Francis Plaza,PayMongo,Co-founder & CEO,Fintech/Payments,"Payments collection API and financial operating system for the Philippines' digital economy. Raised $45.7M across 3 rounds.",Taguig
Jaime Hing III,PayMongo,Co-founder & CTO,Fintech/Payments,"Payments infrastructure enabling businesses to accept digital payments. Series B of $31M.",Taguig
Luis Sia,PayMongo,Co-founder & CCO,Fintech/Payments,"Payments infrastructure for Philippine businesses",Taguig
Nichel Gaba,PDAX,Founder & CEO,Fintech/Crypto,"Philippine Digital Asset Exchange - leading Filipino-made crypto exchange. Raised $112.5M across 3 rounds.",Philippines
Georg Steiger,BillEase,Co-founder,Fintech/Lending,"AI-driven consumer finance app offering buy-now-pay-later services and personal loans, founded 2015",Philippines
Huyen Nguyen,BillEase,Co-founder,Fintech/Lending,"AI-driven consumer finance app with BNPL and personal loan services",Philippines
Ritche Weekun,BillEase,Co-founder,Fintech/Lending,"AI-driven consumer finance app with BNPL and personal loan services",Philippines
Nate Clark,GoTyme Bank,President & CEO,Fintech/Digital Banking,"One of only six licensed digital banks in the Philippines. 2.7M customers since 2022 launch.",Philippines
Albert Tinio,GoTyme Bank,Co-CEO & CCO,Fintech/Digital Banking,"Licensed digital bank combining mobile app with physical kiosks",Philippines
Jojo Malolos,GoTyme Bank,Founder/CEO,Fintech/Digital Banking,"Digital banking service with savings accounts and rewards, founded 2021",Philippines
Danielle Cojuangco,Zed,Co-founder,Fintech,"Credit card startup eliminating fees with unlimited virtual card creation for online payments",Philippines
Steve Abraham,Zed,Co-founder,Fintech,"Credit card startup eliminating fees with virtual card technology",Philippines
Pavel Fedorov,Salmon,Co-founder,Fintech,"Leading fintech group in the Philippines. Won World Business Outlook Awards 2024.",Philippines
George Chesakov,Salmon,Co-founder,Fintech,"Leading fintech group in the Philippines",Philippines
Raffy Montemayor,Salmon,Co-founder,Fintech,"Leading fintech group in the Philippines",Philippines
Mikko Perez,Ayannah,Founder,Fintech,"Affordable financial services for underserved and unbanked communities. Raised $8.4M across 8 rounds.",Pasig
Mario Jordan Fetalino III,Acudeen Technologies,Founder,Fintech,"Winner of Seedstars Global 2017 & Founder Institute's Best Global Fintech 2017. Board Member of Fintech Alliance Philippines.",Philippines
Jorrit Koop,First Circle,Co-founder,Fintech/SME Lending,"SME financing platform improving opportunity for SMEs across Southeast Asia. Raised $26M.",Taguig
Patrick Lynch,First Circle,Co-founder,Fintech/SME Lending,"SME financing platform for Southeast Asian small businesses",Taguig
Tony Ennis,First Circle,Co-founder,Fintech/SME Lending,"SME financing platform for Southeast Asian small businesses",Taguig
Ana Yang-Calubad,Britana,Founder,SaaS/B2B,"Cloud-based no-code ERP solution for SMEs at affordable price points, founded 2017. Also MD at Narra Solutions LLC.",Philippines
Jeffrey Reyes,Twala,Founder,Blockchain/SaaS,"Blockchain-enabled digital identity and digital signature platform, founded 2020. Tapped by Supreme Court for electronic notarization framework.",Philippines
